iter	Passed	Remaining
1444	6555	61493
1445	6561	61503
1446	6565	61495
1447	6570	61490
1448	6576	61500
1449	6580	61495
1450	6585	61493
1451	6591	61503
1452	6596	61503
1453	6601	61500
1454	6605	61497
1455	6611	61501
1456	6616	61498
1457	6620	61495
1458	6627	61507
1459	6631	61502
1460	6636	61499
1461	6642	61505
1462	6646	61503
1463	6651	61499
1464	6657	61506
1465	6662	61508
1466	6667	61503
1467	6671	61501
1468	6678	61512
1469	6682	61505
1470	6687	61502
1471	6693	61515
1472	6698	61510
1473	6702	61508
1474	6709	61519
1475	6713	61508
1476	6717	61501
1477	6721	61496
1478	6727	61505
1479	6732	61501
1480	6736	61494
1481	6742	61500
1482	6747	61496
1483	6751	61492
1484	6757	61499
1485	6762	61496
1486	6766	61488
1487	6770	61480
1488	6776	61490
1489	6780	61483
1490	6785	61475
1491	6791	61489
1492	6797	61499
1493	6803	61505
1494	6810	61520
1495	6814	61517
1496	6819	61513
1497	6826	61528
1498	6831	61527
1499	6835	61517
1500	6841	61527
1501	6845	61519
1502	6849	61511
1503	6854	61504
1504	6859	61504
1505	6863	61497
1506	6867	61489
1507	6872	61489
1508	6877	61484
1509	6881	61476
1510	6885	61468
1511	6890	61468
1512	6895	61462
1513	6899	61455
1514	6903	61448
1515	6908	61448
1516	6912	61440
1517	6917	61433
1518	6921	61426
1519	6926	61425
1520	6930	61417
1521	6934	61411
1522	6939	61407
1523	6943	61402
1524	6948	61394
1525	6952	61386
1526	6956	61382
1527	6961	61373
1528	6965	61365
1529	6969	61357
1530	6974	61357
1531	6978	61349
1532	6982	61341
1533	6986	61333
1534	6992	61334
1535	6996	61327
1536	7000	61318
1537	7005	61317
1538	7009	61310
1539	7013	61302
1540	7017	61294
1541	7023	61299
1542	7028	61297
1543	7033	61292
1544	7038	61293
1545	7042	61286
1546	7047	61282
1547	7051	61275
1548	7056	61272
1549	7060	61266
1550	7064	61258
1551	7068	61249
1552	7073	61247
1553	7077	61239
1554	7081	61230
1555	7086	61224
1556	7091	61226
1557	7095	61221
1558	7100	61216
1559	7105	61219
1560	7110	61217
1561	7115	61215
1562	7120	61215
1563	7125	61212
1564	7129	61204
1565	7133	61196
1566	7139	61199
1567	7143	61191
1568	7147	61183
1569	7151	61175
1570	7156	61176
1571	7162	61177
1572	7166	61172
1573	7171	61174
1574	7176	61167
1575	7180	61161
1576	7184	61153
1577	7189	61153
1578	7193	61146
1579	7198	61138
1580	7202	61131
1581	7207	61131
1582	7211	61124
1583	7216	61119
1584	7221	61117
1585	7225	61109
1586	7229	61100
1587	7233	61092
1588	7238	61089
1589	7242	61084
1590	7246	61075
1591	7251	61069
1592	7255	61066
1593	7259	61058
1594	7264	61050
1595	7268	61043
1596	7273	61044
1597	7277	61035
1598	7281	61028
1599	7286	61028
1600	7292	61031
1601	7297	61027
1602	7301	61024
1603	7306	61025
1604	7311	61017
1605	7315	61010
1606	7320	61011
1607	7324	61004
1608	7329	60998
1609	7333	60989
1610	7338	60986
1611	7342	60979
1612	7346	60971
1613	7350	60965
1614	7355	60961
1615	7359	60951
1616	7363	60943
1617	7367	60936
1618	7373	60944
1619	7377	60936
1620	7382	60928
1621	7387	60928
1622	7391	60921
1623	7395	60913
1624	7399	60906
1625	7404	60904
1626	7408	60895
1627	7412	60888
